column,original_missing_count,missing_percentage,final_missing_count,min,max,mean,std
Record number,0,0.0,11656,1470.75,11467.0,6480.324077830746,2890.650834078933
Average Water Speed,7,0.07,0,0.0,89.912,11.723235254473622,11.685245565097928
Average Water Direction,1,0.01,0,0.0,359.986,172.46656839414362,91.22233886930469
Chlorophyll,121,1.21,29,0.1,9.914,2.4146146560551056,1.3742150893650091
Chlorophyll [quality],344,3.44,11994,1020.0,1220.0,1020.021006196828,2.0496925051365285
Temperature,2277,22.77,2242,17.707,28.0,23.24353700962579,2.4518787031978193
Temperature [quality],2457,24.57,14094,1020.0,2010.0,1025.7633742083278,75.17974909869744
DO,2817,28.17,3153,3.806,8.221,6.903982651982321,0.5391906264654506
Dissolved Oxygen [quality],3041,30.41,14657,1020.0,2010.0,1021.8766404199475,43.06533023772222
DO (%Saturation),3767,37.67,5333,51.836,111.989,99.7007931538806,5.456119202066789
Dissolved Oxygen (%Saturation) [quality],3968,39.68,15570,1020.0,2010.0,1032.4894869638351,110.50184951904235
pH,175,1.75,11828,7.9,8.188,8.021159388871682,0.06574062397854455
pH [quality],399,3.99,12047,1020.0,1020.0,1020.0,0.0
Salinity,2056,20.56,4295,27.245,36.0,35.27969282122743,0.8045640925207671
Salinity [quality],2280,22.8,13902,1020.0,1020.0,1020.0,0.0
Specific Conductance,19,0.19,26,0.021,54.996,53.622841480137126,1.8219638742162991
Specific Conductance [quality],243,2.43,11893,1020.0,1020.0,1020.0,0.0
Turbidity,1538,15.38,4012,0.335,8.774,2.318148435426756,1.146339497546403
Turbidity [quality],1762,17.62,13382,1020.0,1020.0,1020.0,0.0
