feature_name,source_variable,feature_type,lag_window,description
Average Water Speed_lag_1,Average Water Speed,lag,1,Causal lag 1 of Average Water Speed
Average Water Speed_lag_2,Average Water Speed,lag,2,Causal lag 2 of Average Water Speed
Average Water Speed_lag_3,Average Water Speed,lag,3,Causal lag 3 of Average Water Speed
Average Water Speed_lag_5,Average Water Speed,lag,5,Causal lag 5 of Average Water Speed
Average Water Speed_lag_10,Average Water Speed,lag,10,Causal lag 10 of Average Water Speed
Average Water Speed_lag_15,Average Water Speed,lag,15,Causal lag 15 of Average Water Speed
Average Water Speed_lag_30,Average Water Speed,lag,30,Causal lag 30 of Average Water Speed
Average Water Speed_rolling_mean_3,Average Water Speed,rolling_mean,3,Causal rolling_mean over window 3 for Average Water Speed
Average Water Speed_rolling_std_3,Average Water Speed,rolling_std,3,Causal rolling_std over window 3 for Average Water Speed
Average Water Speed_rolling_min_3,Average Water Speed,rolling_min,3,Causal rolling_min over window 3 for Average Water Speed
Average Water Speed_rolling_max_3,Average Water Speed,rolling_max,3,Causal rolling_max over window 3 for Average Water Speed
Average Water Speed_rolling_median_3,Average Water Speed,rolling_median,3,Causal rolling_median over window 3 for Average Water Speed
Average Water Speed_rolling_mean_5,Average Water Speed,rolling_mean,5,Causal rolling_mean over window 5 for Average Water Speed
Average Water Speed_rolling_std_5,Average Water Speed,rolling_std,5,Causal rolling_std over window 5 for Average Water Speed
Average Water Speed_rolling_min_5,Average Water Speed,rolling_min,5,Causal rolling_min over window 5 for Average Water Speed
Average Water Speed_rolling_max_5,Average Water Speed,rolling_max,5,Causal rolling_max over window 5 for Average Water Speed
Average Water Speed_rolling_median_5,Average Water Speed,rolling_median,5,Causal rolling_median over window 5 for Average Water Speed
Average Water Speed_rolling_mean_10,Average Water Speed,rolling_mean,10,Causal rolling_mean over window 10 for Average Water Speed
Average Water Speed_rolling_std_10,Average Water Speed,rolling_std,10,Causal rolling_std over window 10 for Average Water Speed
Average Water Speed_rolling_min_10,Average Water Speed,rolling_min,10,Causal rolling_min over window 10 for Average Water Speed
Average Water Speed_rolling_max_10,Average Water Speed,rolling_max,10,Causal rolling_max over window 10 for Average Water Speed
Average Water Speed_rolling_median_10,Average Water Speed,rolling_median,10,Causal rolling_median over window 10 for Average Water Speed
Average Water Speed_rolling_mean_15,Average Water Speed,rolling_mean,15,Causal rolling_mean over window 15 for Average Water Speed
Average Water Speed_rolling_std_15,Average Water Speed,rolling_std,15,Causal rolling_std over window 15 for Average Water Speed
