column,original_missing_count,missing_percentage,final_missing_count,min,max,mean,std
Record number,0,0.0,16535,1470.75,32361.0,16945.159945885323,8909.312884558467
Average Water Speed,20,0.0647,4867,0.0,89.912,14.77538955250467,12.746369867845537
Average Water Direction,1,0.0032,4867,0.0,359.994,175.72835626919357,97.9240117894355
Chlorophyll,585,1.8936,5141,0.1,43.301,2.752233474077734,1.7763694718579761
Chlorophyll [quality],808,2.6154,17326,1020.0,1220.0,1020.006706233444,1.1581220526340206
Temperature,5164,16.7152,9730,17.0,32.063,23.943560102510993,3.239016672312795
Temperature [quality],5344,17.2979,21833,1020.0,2010.0,1021.6894454100174,40.78628848104471
DO,4300,13.9186,20779,3.03,9.26,6.815942798002781,0.6218340376155306
Dissolved Oxygen [quality],4524,14.6436,20998,1020.0,2010.0,1020.4921417919008,22.068003827503667
DO (%Saturation),5749,18.6088,11447,51.836,134.082,97.47536475533333,7.580799009532381
Dissolved Oxygen (%Saturation) [quality],5950,19.2594,22407,1020.0,2010.0,1023.0009700105085,54.42494104601532
pH,1084,3.5088,5470,7.309,8.255,8.05962853185788,0.084588678882556
pH [quality],1308,4.2338,17822,1020.0,1020.0,1020.0,0.0
Salinity,3958,12.8115,10961,0.057,36.0,32.142346005646026,3.571786088133654
Salinity [quality],4182,13.5366,20663,1020.0,1020.0,1020.0,0.0
Specific Conductance,1367,4.4248,6106,0.021,54.996,49.53742394323312,5.223424354713403
Specific Conductance [quality],1591,5.1499,18102,1020.0,1020.0,1020.0,0.0
Turbidity,2000,6.4737,9075,0.335,49.869,3.651975759658229,3.673487519195363
Turbidity [quality],2224,7.1988,18714,1020.0,1020.0,1020.0,0.0
